Street address,City,State,Zip Code,Country,Latitude,Longitude,Postal code,Neighbourhood,Region,Price,Bedrooms,Bathrooms,Square Footage
428 Beach Cres #2802, Vancouver,BC,V6Z3G1,Canada,49.27233,-123.127311,V6Z,SW Downtown,Vancouver,"C$7,598,000",3 bds,4 ba,"2,948 sqft"
1019 Gilford St #8, Vancouver,BC,V6G2P1,Canada,49.2903,-123.140972,V6G,NW West End / Stanley Park,Vancouver,"C$1,075,000",2 bds,2 ba,"1,177 sqft"
7428 Alberta St #304, Vancouver,BC,V5X0J5,Canada,49.217347,-123.112657,V5X,SE Oakridge / East Marpole / South Sunset,Vancouver,"C$1,498,000",2 bds,2 ba,"1,069 sqft"
3542 W 16th Ave, Vancouver,BC,V6R3C1,Canada,49.257558,-123.183274,V6R,West Kitsilano / West Point Grey / Jericho,Vancouver,"C$2,498,000",5 bds,2 ba,"2,037 sqft"
275 E 65th Ave, Vancouver,BC,V5X2P3,Canada,49.211978,-123.100764,V5X,SE Oakridge / East Marpole / South Sunset,Vancouver,"C$1,999,900",4 bds,4 ba,"2,259 sqft"
183 Keefer Pl #1004, Vancouver,BC,V6B6B9,Canada,49.280356,-123.10826,V6B,NE Downtown / Gastown / Harbour Centre / International Village / Victory Square / Yaletown,Vancouver,"C$1,100,000",3 bds,2 ba,"1,207 sqft"
2889 E 1st Ave #215, Vancouver,BC,V5M0G2,Canada,49.269961,-123.044686,V5M,South Hastings-Sunrise / North Renfrew- Collingwood,Vancouver,"C$729,000",2 bds,2 ba,825 sqft
1372 Seymour St #2701, Vancouver,BC,V6B0L1,Canada,49.27459,-123.127563,V6B,NE Downtown / Gastown / Harbour Centre / International Village / Victory Square / Yaletown,Vancouver,"C$1,688,000",2 bds,2 ba,"1,196 sqft"
53 Hastings St W #306, Vancouver,BC,V6B1G4,Canada,49.282116,-123.106307,V6B,NE Downtown / Gastown / Harbour Centre / International Village / Victory Square / Yaletown,Vancouver,"C$499,900",1 bd,1 ba,764 sqft
583 Beach Cres #3006, Vancouver,BC,V6Z3E6,Canada,49.273589,-123.129221,V6Z,SW Downtown,Vancouver,"C$1,599,000",2 bds,2 ba,"1,065 sqft"
