Address,Price,Neighbourhood,City,Latitude,Longitude
30 Fusilier Dr,"$939,999",Clairlea Birchmount,Toronto,43.717641,-79.279203
57 Shanly St,"$1,800,000",Dovercourt Wallace Emerson Junction,Toronto,43.663806,-79.43205
3105 - 30 Nelson St,"$599,800",Waterfront Communities West,Toronto,43.649062,-79.388476
1103 - 10 Dean Park Rd,"$579,900",Rouge,Toronto,43.804217,-79.168775
100 Rusty Crestway,"$859,000",Don Valley Village,Toronto,43.788441,-79.355423
3203 - 180 University Avenue,"$1,559,000",Bay Street Corridor,Toronto,43.648996,-79.386154
805 - 160 Vanderhoof Avenue,"$659,999",Thorncliffe Park,Toronto,43.714359,-79.353187
521 - 255 The Donway W,"$729,000",Banbury Don Mills,Toronto,43.739826,-79.346034
4005 - 319 Jarvis St,"$735,000",Moss Park,Toronto,43.659814,-79.375308
258 Byng Ave E,"$1,598,000",Willowdale East,Toronto,43.780324,-79.398837
118 High Park Ave,"$1,988,000",High Park North,Toronto,43.657524,-79.467411
127 Weir Cres,"$1,150,000",West Hill,Toronto,43.773648,-79.196582
1510 - 35 Hayden St E,"$655,000",Church Yonge Corridor,Toronto,43.66955,-79.384654
1602 - 10 Deerlick Crt,"$690,000",Parkwoods Donalda,Toronto,43.759433,-79.332085
221 - 251 Jarvis St,"$488,000",Moss Park,Toronto,43.657325,-79.374332
Gph3 - 8 Widmer St,"$1,290,000",Waterfront Communities West,Toronto,43.646752,-79.391805
161 August Avenue,"$1,279,000",Oakridge,Toronto,43.652934,-79.401168
354 Ranee Ave,"$2,688,000",Yorkdale Glen Park,Toronto,43.722078,-79.455298
7b Clintwood Gate,"$898,000",Parkwoods Donalda,Toronto,43.748509,-79.312891
21 Treelawn Pkwy,"$1,398,000",Maple Leaf,Toronto,43.711385,-79.470803
1006 Mount Pleasant Rd,"$999,000",Mount Pleasant East,Toronto,43.714199,-79.392613
5 Rosehill Ave 607,"$889,000",Rosedale Moore Park,Toronto,43.686128,-79.392887
1717 - 4725 Sheppard Ave E,"$417,171",Agincourt South Malvern West,Toronto,43.790016,-79.254657
1222 - 75 Bamburgh Circ,"$615,000",Steeles,Toronto,43.815063,-79.327295
1511 - 70 Temperance St,"$850,000",Bay Street Corridor,Toronto,43.650465,-79.382209
3 Langevin Cres,"$1,267,800",Centennial Scarborough,Toronto,43.780088,-79.146196
48 Westbrook Ave,"$1,099,000",Woodbine Lumsden,Toronto,43.693539,-79.306305
408 - 155 Legion Rd N,"$550,000",Mimico,Toronto,43.623942,-79.488447
1102 - 20 Laidlaw St,"$745,000",South Parkdale,Toronto,43.640503,-79.426858
149 Sharpecroft Blvd,"$995,900",York University Heights,Toronto,43.750414,-79.489371
37 Holley Ave,"$825,000",Weston,Toronto,43.706346,-79.52964
Unit 12 - 57 Finch Avenue W,"$799,999",Willowdale West,Toronto,43.778324,-79.420761
409 - 3 Rowntree Rd,"$650,000",Mount Olive Silverstone Jamestown,Toronto,43.681222,-79.460569
Th1 - 51 Florence St,"$1,380,000",Little Portugal,Toronto,43.64541,-79.431799
73 Pettibone Sq,"$898,000",L'amoreaux,Toronto,43.798185,-79.329407
4011 - 395 Bloor St E,"$499,000",North St. Jamestown,Toronto,43.672002,-79.377438
2410 - 5500 Yonge Street,"$888,000",Willowdale West,Toronto,43.710282,-79.398838
622 - 859 The Queensway,"$699,000",Stonegate Queensway,Toronto,43.624262,-79.510293
1906 - 55 East Liberty Street,"$950,000",Niagara,Toronto,43.638615,-79.412742
