,Unnamed: 0,neighbourhood_left,unnamed: 0,street address,latitude,longitude,geometry,price,bedrooms,bathrooms,total_crimes (2020-2024),average_total_crime (per_year),total_severe_crimes (2020-2024),average_severe_crimes (per_year),total_moderate_crimes (2020-2024),average_moderate_crimes (per_year),total_minor_crimes (2020-2024),average_minor_crimes (per_year),class 6g,class 5g,class 4g,class 3g,class 2g,class 1g,class 6g_t,class 5g_t,class 4g_t,class 3g_t,class 2g_t,class 1g_t,index_right,neighbourhood_right,house_counts,area,house_density,restruarent_counts,public_service_counts,public_transit_counts,other_counts,Total Facilities 500,Total Facilities 1000,Total Facilities 1500,public_transit_best_buffer_area_0.5_values,restaurants_best_buffer_area_0.5_values,public_service_best_buffer_area_0.5_values,other_dailylife_facilities_best_buffer_area_0.5_values
61,61,banbury don mills,1154,5 terrington crt,43.741986,-79.358048,POINT (632212.0558984171 4844526.557810301),1858000,4,1,1627,325,17,3,805,161,805,161,5525,6190,2680,6300,2285,2140,6025,7110,2935,4480,1060,1730,110,banbury-don mills,15,10.04095421008352,1.4938819245820694,70,33,120,6,9,27,100,8,0,1,0
62,62,bathurst manor,205,270 brighton ave,43.757593,-79.458141,POINT (624120.100579287 4846105.063191346),1898000,5,3,1293,259,10,2,538,108,745,149,3880,4160,1400,2425,995,570,4240,4595,1380,1625,435,445,118,bathurst manor,12,4.760362366315972,2.520816500212516,24,9,62,2,10,66,112,9,0,1,0
63,63,bathurst manor,333,333 brighton ave,43.756128,-79.462889,POINT (623740.9017118278 4845935.248048471),3438000,6,7,1293,259,10,2,538,108,745,149,3880,4160,1400,2425,995,570,4240,4595,1380,1625,435,445,118,bathurst manor,12,4.760362366315972,2.520816500212516,24,9,62,2,19,75,115,11,7,1,0
64,64,bathurst manor,478,212 cocksfield ave,43.753818,-79.454186,POINT (624446.307271961 4845691.728467335),999000,4,2,1293,259,10,2,538,108,745,149,3880,4160,1400,2425,995,570,4240,4595,1380,1625,435,445,118,bathurst manor,12,4.760362366315972,2.520816500212516,24,9,62,2,28,47,106,16,11,1,0
65,65,bathurst manor,787,53 codsell ave,43.757679,-79.443357,POINT (625310.0478053815 4846136.878570611),1199900,4,3,1293,259,10,2,538,108,745,149,3880,4160,1400,2425,995,570,4240,4595,1380,1625,435,445,118,bathurst manor,12,4.760362366315972,2.520816500212516,24,9,62,2,17,38,72,5,10,0,2
66,66,bathurst manor,845,10 cedar springs grove,43.768408,-79.45904,POINT (624025.3789616399 4847304.884097856),1550000,4,3,1293,259,10,2,538,108,745,149,3880,4160,1400,2425,995,570,4240,4595,1380,1625,435,445,118,bathurst manor,12,4.760362366315972,2.520816500212516,24,9,62,2,14,35,82,12,0,2,0
67,67,bathurst manor,930,52 acton ave,43.760296,-79.449789,POINT (624786.8254805326 4846417.82319893),1449900,5,3,1293,259,10,2,538,108,745,149,3880,4160,1400,2425,995,570,4240,4595,1380,1625,435,445,118,bathurst manor,12,4.760362366315972,2.520816500212516,24,9,62,2,0,27,102,0,0,0,0
68,68,bathurst manor,948,169 kennard ave,43.759786,-79.46168,POINT (623830.6834815801 4846343.330548536),1649900,5,3,1293,259,10,2,538,108,745,149,3880,4160,1400,2425,995,570,4240,4595,1380,1625,435,445,118,bathurst manor,12,4.760362366315972,2.520816500212516,24,9,62,2,14,51,133,12,2,0,0
69,69,bathurst manor,949,518 - 1060 sheppard ave w,43.756448,-79.435498,POINT (625945.2870857711 4846012.079332873),670000,2,2,1293,259,10,2,538,108,745,149,3880,4160,1400,2425,995,570,4240,4595,1380,1625,435,445,118,bathurst manor,12,4.760362366315972,2.520816500212516,24,9,62,2,17,36,57,11,3,1,2
70,70,bathurst manor,1003,759 wilson heights blvd,43.760363,-79.463893,POINT (623651.3526706512 4846404.108265243),949990,3,1,1293,259,10,2,538,108,745,149,3880,4160,1400,2425,995,570,4240,4595,1380,1625,435,445,118,bathurst manor,12,4.760362366315972,2.520816500212516,24,9,62,2,18,56,137,11,7,0,0
71,71,bathurst manor,1043,lph05 - 660 sheppard ave e,43.755102,-79.44215,POINT (625412.5959844107 4845852.491352731),1498000,2,3,1293,259,10,2,538,108,745,149,3880,4160,1400,2425,995,570,4240,4595,1380,1625,435,445,118,bathurst manor,12,4.760362366315972,2.520816500212516,24,9,62,2,22,41,72,9,11,0,2
