,Street address,Zip/Postal Code,Latitude,Longitude,Neighbourhood,Region,Price,Bedrooms,Bathrooms,Square Footage,Hospital in area,Railway Station in area,School in area,Supermarket in area,Bus Stop in area,Pub in area,Restaurant in area,Cafe in area,Dentist in area,Fast Food in area,Kindergartens in area,Malls in area,Play Ground in area,Parks in area,Post Office in area
86,1101 W 8th Ave #11,V6H1C5,49.264598,-123.129408,West Fairview / Granville Island / NE Shaughnessy,Vancouver,599000.0,1 bd,1 ba,607 sqft,0,0,0,0,11,0,14,6,0,2,0,0,0,0,1
87,2419 Grant St #201,V6A2J6,49.271619,-123.055762,Strathcona / Chinatown / Downtown Eastside,Vancouver,1285900.0,3 bds,2 ba,"1,167 sqft",0,0,0,0,5,0,1,0,0,1,0,0,0,0,1
88,2236 E 34th Ave,V5P1B1,49.238649,-123.060743,SE Kensington-Cedar Cottage / Victoria- Fraserview,Vancouver,1988000.0,7 bds,4 ba,"2,663 sqft",0,0,0,0,6,0,15,3,0,3,0,0,0,0,2
89,1288 Marinaside Cres #609,V6Z2W5,49.272079,-123.120377,SW Downtown,Vancouver,1198000.0,2 bds,2 ba,"1,069 sqft",0,1,0,1,11,2,37,9,0,10,0,0,0,0,1
90,888 Bute St #101,V6E1Y5,49.284652,-123.128638,SE West End / Davie Village,Vancouver,988000.0,2 bds,2 ba,"1,063 sqft",0,0,2,2,11,1,40,20,0,7,0,0,0,0,1
91,1915 W 13th Ave,V6J2H5,49.259723,-123.148738,NW Shaughnessy / East Kitsilano / Quilchena,Vancouver,2399000.0,3 bds,3 ba,"2,020 sqft",0,0,0,1,8,0,3,2,1,0,0,0,0,0,1
92,3623 Yale St,V5K1B8,49.290988,-123.025089,North Hastings-Sunrise,Vancouver,1976000.0,6 bds,5 ba,"2,175 sqft",0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
93,3437 E 49th Ave #80,V5S1M1,49.224224,-123.031028,Killarney,Vancouver,869000.0,3 bds,1 ba,"1,380 sqft",0,0,0,0,13,0,0,0,0,0,0,0,0,0,0
94,428 Beach Cres #2802,V6Z3G1,49.27233,-123.127311,SW Downtown,Vancouver,7598000.0,3 bds,4 ba,"2,948 sqft",0,0,0,2,10,1,11,2,0,3,0,0,0,0,1
95,1019 Gilford St #8,V6G2P1,49.2903,-123.140972,NW West End / Stanley Park,Vancouver,1075000.0,2 bds,2 ba,"1,177 sqft",0,0,0,1,8,1,40,11,0,10,0,0,0,0,2
96,7428 Alberta St #304,V5X0J5,49.217347,-123.112657,SE Oakridge / East Marpole / South Sunset,Vancouver,1498000.0,2 bds,2 ba,"1,069 sqft",0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
97,3542 W 16th Ave,V6R3C1,49.257558,-123.183274,West Kitsilano / West Point Grey / Jericho,Vancouver,2498000.0,5 bds,2 ba,"2,037 sqft",0,0,0,0,8,0,3,1,0,2,0,0,0,0,0
98,275 E 65th Ave,V5X2P3,49.211978,-123.100764,SE Oakridge / East Marpole / South Sunset,Vancouver,1999900.0,4 bds,4 ba,"2,259 sqft",0,0,0,0,9,0,1,0,0,3,0,0,0,0,1
99,183 Keefer Pl #1004,V6B6B9,49.280356,-123.10826,NE Downtown / Gastown / Harbour Centre / International Village / Victory Square / Yaletown,Vancouver,1100000.0,3 bds,2 ba,"1,207 sqft",0,1,4,3,33,9,44,32,0,36,0,0,0,0,1
100,2889 E 1st Ave #215,V5M0G2,49.269961,-123.044686,South Hastings-Sunrise / North Renfrew- Collingwood,Vancouver,729000.0,2 bds,2 ba,825 sqft,0,0,1,1,10,0,5,3,0,0,0,0,0,0,0
101,1372 Seymour St #2701,V6B0L1,49.27459,-123.127563,NE Downtown / Gastown / Harbour Centre / International Village / Victory Square / Yaletown,Vancouver,1688000.0,2 bds,2 ba,"1,196 sqft",0,0,1,5,20,3,36,13,0,12,0,0,0,0,2
102,53 Hastings St W #306,V6B1G4,49.282116,-123.106307,NE Downtown / Gastown / Harbour Centre / International Village / Victory Square / Yaletown,Vancouver,499900.0,1 bd,1 ba,764 sqft,0,1,4,2,30,12,51,31,0,32,0,0,0,0,1
103,583 Beach Cres #3006,V6Z3E6,49.273589,-123.129221,SW Downtown,Vancouver,1599000.0,2 bds,2 ba,"1,065 sqft",0,0,1,3,11,2,14,7,0,5,0,0,0,0,2
104,2768 E 25th Ave,V5R1H7,49.247673,-123.047995,South Renfrew- Collingwood,Vancouver,2998000.0,7 bds,7 ba,"3,191 sqft",0,1,0,0,7,0,0,0,0,0,0,0,0,0,0
105,845 W 67th Ave,V6P2S5,49.210871,-123.125486,SE Kerrisdale / SW Oakridge / West Marpole,Vancouver,1499000.0,3 bds,3 ba,"1,068 sqft",0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
106,3290 Cypress St,V6J3N6,49.256513,-123.148065,NW Shaughnessy / East Kitsilano / Quilchena,Vancouver,5498000.0,4 bds,4 ba,"4,599 sqft",0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
107,885 Cambie St #2103,V6B0R6,49.277518,-123.116547,NE Downtown / Gastown / Harbour Centre / International Village / Victory Square / Yaletown,Vancouver,1838000.0,2 bds,2 ba,"1,008 sqft",0,0,7,3,18,2,51,18,0,16,0,0,0,0,2
108,4900 Cartier St #306,V6M4H2,49.240721,-123.136482,South Shaughnessy / NW Oakridge / NE Kerrisdale / SE Arbutus Ridge,Vancouver,3298000.0,2 bds,3 ba,"2,000 sqft",0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
109,1415 Walnut St,V6J3R2,49.273246,-123.149335,NW Shaughnessy / East Kitsilano / Quilchena,Vancouver,2198000.0,3 bds,3 ba,"1,698 sqft",0,0,0,0,4,0,9,6,0,5,0,0,0,0,0
110,4818 Knight St,V5N3N4,49.241341,-123.075952,South Grandview- Woodland / NE Kensington-Cedar Cottage,Vancouver,1880000.0,6 bds,3 ba,"2,492 sqft",0,0,0,0,13,0,0,0,0,0,0,0,0,0,0
111,1350 W 6th Ave #17,V6H1A7,49.265879,-123.135055,West Fairview / Granville Island / NE Shaughnessy,Vancouver,749000.0,1 bd,1 ba,840 sqft,0,0,1,0,16,0,9,5,0,7,0,0,0,0,1
112,1422 Parker St,V5L2K1,49.275574,-123.075255,North Grandview- Woodland,Vancouver,1849000.0,5 bds,3 ba,"2,380 sqft",0,0,0,0,6,0,3,2,0,0,0,0,0,0,0
